UserGenere,UserAge,UserExperience,UserFlicker,UserGlassesUse,UserVisionProblems,UserEyeDominance,StaticFrame,CameraAutoMovement,RegionOfInterest,TimeStamp,CameraFieldOfView,PlayerSpeed,PlayerAcceleration,CameraRotationX,CameraRotationY,CameraRotationZ,PlayerPositionX,PlayerPositionY,PlayerPositionZ,GameFps,DiscomfortLevel
1,0,1,1,1,1,1,0,1,2,0.0111798,111.7553,10,10,0.004270356,0.5693341,-0.01105297,0,12,0.111798,90,0
1,0,1,1,1,1,1,0,1,2,1.010126,111.7553,10,0,0.0507638,0.5230011,-0.01963342,0,12,10.10126,90,0
1,0,1,1,1,1,1,0,1,2,2.019704,111.7553,10,0,0.06139598,0.4702807,0.007609045,0,12,20.19704,88,0
1,0,1,1,1,1,1,0,1,2,3.013207,111.7553,10,0,0.1498196,0.5992723,-0.06166852,0,12,30.13206,90,0
1,0,1,1,1,1,1,0,1,2,4.016532,111.7553,15,5,0.006136746,0.3014792,-0.01713998,0,12,44.233,90,0
1,0,1,1,1,1,1,0,1,2,5.012938,111.7553,15,0,0.03161433,0.1676344,-4.906176E-06,0,12,59.17904,90,0
1,0,1,1,1,1,1,0,1,2,6.017008,111.7553,15,0,0.04919187,0.1130325,3.630864E-05,0,12,74.24009,88,0
1,0,1,1,1,1,1,0,1,2,7.011541,111.7553,15,0,0.05114269,0.09767811,0.02517649,0,12,89.15807,90,0
1,0,1,1,1,1,1,0,1,2,8.017159,111.7553,15,0,0.06613127,0.1104208,0.0115986,0,12,104.2423,88,0
1,0,1,1,1,1,1,0,1,2,9.019536,111.7553,15,0,0.034872,0.08969424,0.009906416,0,12,119.278,90,0
1,0,1,1,1,1,1,0,1,2,10.01561,111.7553,15,0,0.05902721,0.1125204,0.0004262409,0,12,134.2192,88,0
1,0,1,1,1,1,1,0,1,2,11.01028,111.7553,15,0,0.07104838,0.1536135,-0.01822856,0,12,149.1393,90,0
1,0,1,1,1,1,1,0,1,2,12.01572,111.7553,15,0,0.0667236,0.1293169,-0.02151834,0,12,164.2208,88,0
1,0,1,1,1,1,1,0,1,1,13.0092,111.7553,15,0,0.07801422,0.1355104,-0.02343706,0,12,179.1233,90,0
1,0,1,1,1,1,1,0,1,2,14.01592,111.7553,15,0,0.07299929,0.1268723,-0.02389888,0,12,194.224,90,0
1,0,1,1,1,1,1,0,1,2,15.01963,111.7553,15,0,0.06560472,0.1200191,-0.02108037,0,12,209.2797,90,0
1,0,1,1,1,1,1,0,1,2,16.01334,111.7553,15,0,0.07007124,0.1281796,-0.02625225,0,12,224.1853,90,0
1,0,1,1,1,1,1,0,1,2,17.01898,111.7553,15,0,0.07460737,0.1266391,-0.02770428,0,12,239.2698,90,0
1,0,1,1,1,1,1,0,1,2,18.01367,111.7553,15,0,0.03153029,0.1141115,-0.02475908,0,12,254.1902,90,0
1,0,1,1,1,1,1,0,1,2,19.01829,111.7553,15,0,0.0659185,0.1466805,-0.03201302,0,12,269.2593,90,0
1,0,1,1,1,1,1,0,1,2,20.01369,111.7553,15,0,0.05852416,0.14066,-0.03308282,0,12,284.1903,90,0
1,0,1,1,1,1,1,0,1,2,21.01929,111.7553,15,0,0.06132536,0.1410346,-0.03087203,0,12,299.2744,90,0
1,0,1,1,1,1,1,0,1,2,22.01316,111.7553,15,0,0.06082677,0.1422905,-0.0333809,0,12,314.1827,90,0
1,0,1,1,1,1,1,0,1,2,23.0185,111.7553,15,0,0.05951847,0.1438167,-0.03284648,0,12,329.2627,90,0
1,0,1,1,1,1,1,0,1,2,24.0117,111.7553,15,0,0.06193247,0.1389932,-0.02297999,0,12,344.1606,90,0
1,0,1,1,1,1,1,0,1,2,25.0179,111.7553,15,0,0.06284915,0.1398754,-0.01207969,0,12,359.2537,88,0
1,0,1,1,1,1,1,0,1,2,26.01113,111.7553,15,0,0.1218147,0.191292,-0.03373787,0,12,374.1521,90,0
1,0,1,1,1,1,1,0,1,2,27.01783,111.7553,15,0,0.07306793,0.1403407,-0.02620716,0,12,389.2524,90,0
1,0,1,1,1,1,1,0,1,2,28.01027,111.7553,15,0,0.07351673,0.1424328,-0.02984035,0,12,404.1391,90,0
1,0,1,1,1,1,1,0,1,2,29.01607,111.7553,15,0,0.06494394,0.147107,-0.03208959,0,12,419.2261,88,0
1,0,1,1,1,1,1,0,1,2,30.01095,111.7553,15,0,0.06745236,0.1530143,-0.03268267,0,12,434.1492,90,0
1,0,1,1,1,1,1,0,1,2,31.01513,111.7553,15,0,0.06967578,0.1346302,-0.03018993,0,12,449.2119,88,0
1,0,1,1,1,1,1,0,1,2,32.00915,111.7553,15,0,0.05534532,0.09062524,-0.01602395,0,12,464.1222,90,0
1,0,1,1,1,1,1,0,1,2,33.01395,111.7553,15,0,0.004793265,0.08841446,-0.005602841,0,12,479.194,88,0
1,0,1,1,1,1,1,0,1,2,34.00961,111.7553,15,0,0.08229624,0.09645142,-0.01224736,0,12,494.1292,90,0
1,0,1,1,1,1,1,0,1,2,35.01472,111.7553,15,0,0.126766,0.187164,-0.05332784,0,12,509.2063,90,0
1,0,1,1,1,1,1,0,1,1,36.01988,111.7553,15,0,0.2901277,0.1883605,-0.07895631,0,12,524.2833,90,0
1,0,1,1,1,1,1,0,1,2,37.01426,111.7553,15,0,0.1528912,0.0635893,-0.0580615,0,12,539.1989,90,0
1,0,1,1,1,1,1,0,1,2,38.00901,111.7553,15,0,0.05841009,-0.1514121,-0.04678829,0,12,554.1201,90,0
1,0,1,1,1,1,1,0,1,2,39.01337,111.7553,15,0,0.02678116,0.08923678,-0.001254328,0,12,569.1855,90,0
1,0,1,1,1,1,1,0,1,2,40.01944,111.7553,15,0,0.04409858,0.09121417,-0.004938601,0,12,584.2766,90,0
1,0,1,1,1,1,1,0,1,2,41.01356,111.7553,15,0,0.04686124,0.0929193,-0.009098793,0,12,599.1886,90,0
1,0,1,1,1,1,1,0,1,2,42.01715,111.7553,15,0,0.04873958,0.100614,-0.01151865,0,12,614.2418,90,0
1,0,1,1,1,1,1,0,1,2,43.01268,111.7553,15,0,0.06452664,0.1148768,-0.01999615,0,12,629.1749,90,0
1,0,1,1,1,1,1,0,1,2,44.01804,111.7553,15,0,0.07111707,0.1183566,-0.01791516,0,12,644.2554,90,0
1,0,1,1,1,1,1,0,1,2,45.01237,111.7553,15,0,0.1035745,0.188404,-0.03619394,0,12,659.1705,90,0
1,0,1,1,1,1,1,0,1,2,46.01754,111.7553,15,0,0.08019862,0.1758615,-0.02792072,0,12,674.2482,88,0
1,0,1,1,1,1,1,0,1,2,47.01046,111.7553,15,0,0.08054809,0.1525056,-0.03941159,0,12,689.1425,90,0
1,0,1,1,1,1,1,0,1,2,48.01698,111.7553,15,0,0.05281454,0.1101076,-0.04118783,0,12,704.2403,88,0
1,0,1,1,1,1,1,0,1,2,49.01945,111.7553,15,0,0.05512545,0.1185923,-0.03874414,0,12,719.2772,90,0
1,0,1,1,1,1,1,0,1,2,50.01559,111.7553,15,0,0.1129974,0.08777613,-0.01832646,0,12,734.2192,88,0
1,0,1,1,1,1,1,0,1,2,51.01905,111.7553,15,0,0.04753757,0.3323453,0.0008193052,0,12,749.2711,90,0
1,0,1,1,1,1,1,0,1,2,52.01301,111.7553,15,0,0.05406494,0.09373881,-0.005392745,0,12,764.1804,88,0
1,0,1,1,1,1,1,0,1,2,53.0184,111.7553,15,0,0.0472354,0.1200098,-0.001056294,0,12,779.2612,84,0
1,0,1,1,1,1,1,0,1,2,54.01217,111.7553,15,0,0.09443606,0.1682271,-0.009276582,0,12,794.1679,90,0
1,0,1,1,1,1,1,0,1,2,55.00942,111.7553,15,0,0.07356887,0.169703,-0.03859596,0,12,809.1264,88,0
1,0,1,1,1,1,1,0,1,1,56.01333,111.7553,15,0,0.05202125,0.166112,-0.02152864,0,12,824.1849,90,0
1,0,1,1,1,1,1,0,1,2,57.01999,111.7553,15,0,0.03397134,0.1435091,-0.01668633,0,12,839.2846,90,0
1,0,1,1,1,1,1,0,1,2,58.01328,111.7553,15,0,-0.04790708,0.1260608,-0.001090272,0,12,854.184,90,0
1,0,1,1,1,1,1,0,1,2,59.01987,111.7553,15,0,-0.04543167,0.1246595,0.00097859,0,12,869.283,90,0
